Product Number,Product Name,Primary UOM,Guaranteed Shelf Life (ignore -),Shelf Life,Protect,"Fixed Wt= N, Variable Wt= Y",Width,Depth,Height,Net Weight,Tare Weight,Cubic Foot,Layer QTY,Pallet QTY,Product Group,Type,Marketing Group,Brand,Form,Characteristics,Flavor,Business Segment Name,Marketing Brand Name Code
46021000034500,6/5# 160S VERT Y AM PROD HILLD,CA,-60,270,2REF,N,11.06,12,7,30,1,0.54,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,SOS,AMERICAN,FOODSERVICE,0
46021660034500,(AGED)6/5# 160S VERT Y AM PROD,CA,-60,270,2REF,N,11.06,12,7,30,1,0.54,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,66
46021990034500,(LANDFILL)6/5# 160S VERT Y AM,CA,-60,270,2REF,N,11.06,12,7,30,1,0.54,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
46022000034500,6/5# 160S VERT W AM PROD HILLD,CA,-60,270,2REF,N,11.06,12,6.75,30,1,0.52,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,SOS,AMERICAN,FOODSERVICE,0
46022990034500,(LANDFILL)6/5# 160S VERT W AM,CA,-60,270,2REF,N,11.06,12,6.75,30,1,0.52,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
46028000034500,6/5# 160S 40R W AM HILLDALE,CA,-60,270,2REF,N,10.06,12.56,7.44,30,1,0.54,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,SOS,AMERICAN,FOODSERVICE,0
46028990034500,(LANDFILL)6/5# 160S 40R W AM H,CA,-60,270,2REF,N,10.06,12.56,7.44,30,1,0.54,12,60,CHEESE,CORE CHEESE,CORE,HILLDALE,SLICE-VERTICAL,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
46187000034500,6/5LB LOL 160VT SL Y AM PROD,CA,-60,270,2REF,N,11.13,12.06,7.25,30,1.25,0.56,12,60,CHEESE,PROCESSED,DELI,LAND O LAKES,SLICE,SERVICE,AMERICAN,RETAIL,0
46187990034500,(LANDFILL)6/5LB LOL 160VT SL Y,CA,-60,270,2REF,N,11.13,12.06,7.25,30,1.25,0.56,12,60,CHEESE,PROCESSED,DELI,LAND O LAKES,SLICE,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
46188000034500,6/5LB LOL 160 VT SL W AM PROD,CA,-60,270,2REF,N,11.13,12.06,7.25,30,1.25,0.56,12,60,CHEESE,PROCESSED,DELI,LAND O LAKES,SLICE,SERVICE,AMERICAN,RETAIL,0
46188990034500,(LANDFILL)6/5LB LOL 160 VT SL,CA,-60,270,2REF,N,11.13,12.06,7.25,30,1.25,0.56,12,60,CHEESE,PROCESSED,DELI,LAND O LAKES,SLICE,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
46219000034500,6/5#F/S 40RP P/C 160 W AM (BC),CA,-90,270,2REF,N,10.06,12.56,7.44,30,1,0.54,12,60,CHEESE,K12 CHEESE,SCHOOL,LAND O LAKES,SLICE-RIBBON,SCHOOL FS CHEESE,AMERICAN,FOODSERVICE,0
46219660034500,(AGED)6/5#FS 40RP PC 160S W AM,CA,-90,270,2REF,N,10.06,12.56,7.44,30,1,0.54,12,60,CHEESE,K12 CHEESE,SCHOOL,LAND O LAKES,SLICE-RIBBON,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,66
46219990034500,(LANDFILL)6/5#F/S 40RP P/C 160,CA,-90,270,2REF,N,10.06,12.56,7.44,30,1,0.54,12,60,CHEESE,K12 CHEESE,SCHOOL,LAND O LAKES,SLICE-RIBBON,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
46221000034500,8/ 5LB F/S 120 SL Y AM CULVER,CA,-45,270,2REF,N,10.6,15,7.6,40,1.75,0.7,10,50,CHEESE,CORE CHEESE,CORE,CAPTIVE,SLICE-VERTICAL,SOS,AMERICAN,FOODSERVICE,0
46221990034500,(LANDFILL)8/ 5LB F/S 120 SL Y,CA,-45,270,2REF,N,10.6,15,7.6,40,1.75,0.7,10,50,CHEESE,CORE CHEESE,CORE,CAPTIVE,SLICE-VERTICAL,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
46288000034500,6/5# 50 RS/RF 160 Y AMER (BC),CA,-90,270,2REF,N,10.06,12.56,7.44,30,1,0.54,12,60,CHEESE,K12 CHEESE,SCHOOL,LAND O LAKES,SLICE-VERTICAL,SCHOOL FS CHEESE,AMERICAN,FOODSERVICE,0
46288990034500,(LANDFILL)6/5# 50 RS/RF 160 Y,CA,-90,270,2REF,N,10.06,12.56,7.44,30,1,0.54,12,60,CHEESE,K12 CHEESE,SCHOOL,LAND O LAKES,SLICE-VERTICAL,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48059000034500,45# GOLDEN VELVET YEL CH SPD,CA,-60,210,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,GOLDEN VELVET,AMERICAN,FOODSERVICE,0
48059660034500,(AGED)45# GOLDEN VELVET YEL CH,CA,-60,210,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,66
48059760034500,(OFFSPEC)45# GOLDEN VELVET YEL,CA,-60,210,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,76
48059770034500,(OFFGRADE)45# GOLDEN VELVET Y,CA,-60,210,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,77
48059780034500,(OFFSPEC)45# GOLDEN VELVET YEL,CA,-60,210,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,78
48059990034500,(LANDFILL)45# GOLDEN VELVET YE,CA,-60,210,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48107000034500,6/ 5 LB LOL Y AMERICAN LOAF,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,SERVICE,AMERICAN,RETAIL,0
48107990034500,(LANDFILL)6/ 5 LB LOL Y AMERIC,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
48108000034500,6/5 LB LOL WHITE AMERICAN LOAF,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,SERVICE,AMERICAN,RETAIL,0
48108990034500,(LANDFILL)6/5 LB LOL WHITE AME,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
48144000034500,2/5LB LOL W AMERICN (LESS SOD),CA,-60,270,2REF,N,7.75,11.81,4.31,10,1,0.23,20,160,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,SERVICE,AMERICAN LS,RETAIL,0
48144990034500,(LANDFILL)2/5LB LOL W AMERICN,CA,-60,270,2REF,N,7.75,11.81,4.31,10,1,0.23,20,160,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
48153000034500,6/5# F/S YEL EXTRA MELT AM LF,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,EXTRA MELT,LOAF,EXTRA MELT,AMERICAN,FOODSERVICE,0
48153990034500,(LANDFILL)6/5# F/S YEL EXTRA M,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,EXTRA MELT,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48154000034500,6/5# F/S WHT EXTRA MELT AMER L,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,EXTRA MELT,LOAF,EXTRA MELT,AMERICAN,FOODSERVICE,0
48154990034500,(LANDFILL)6/5# F/S WHT EXTRA M,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,EXTRA MELT,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48204000034500,6/5# MOES QUESO W/ PEPPERS,CA,-45,210,2REF,N,12.8,15.4,5.4,30,1.51,0.62,9,63,COOKING,PERFORMANCE DAIRY - SAUCES,PERFORMANCE,CAPTIVE,POUCH,CUSTOM QUESO,AMERICAN,FOODSERVICE,0
48204660034500,(AGED)6/5# MOES QUESO W/ PEPPE,CA,-45,210,2REF,N,12.8,15.4,5.4,30,1.51,0.62,9,63,CHEESE,PROCESSED,PERFORMANCE,CAPTIVE,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,66
48204990034500,(LANDFILL)6/5# MOES QUESO W/ P,CA,-45,210,2REF,N,12.8,15.4,5.4,30,1.51,0.62,9,63,COOKING,PERFORMANCE DAIRY - SAUCES,PERFORMANCE,CAPTIVE,POUCH,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48210000034500,45# W LOL EM BULK AM CHS,CA,-14,90,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PROCESSED,PERFORMANCE,LAND O LAKES,BOX,REFRIGERATED,AMERICAN,FOODSERVICE,0
48210990034500,(LANDFILL)45# W LOL EM BULK AM,CA,-14,90,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PROCESSED,PERFORMANCE,LAND O LAKES,BOX,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48238000034500,6/5# QUESO BRAVO CHS DIP WHT,CA,-60,210,2REF,N,12.8,15.4,5.4,30,1.51,0.62,9,63,COOKING,PERFORMANCE DAIRY - SAUCES,PERFORMANCE,LAND O LAKES,POUCH,QUESO BRAVO,AMERICAN,FOODSERVICE,0
48238660034500,(AGED)6/5#QUESO BRAVO CHSDP W,CA,-60,210,2REF,N,12.8,15.4,5.4,30,1.51,0.62,9,63,COOKING,PERFORMANCE DAIRY - SAUCES,PERFORMANCE,LAND O LAKES,POUCH,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,66
48238990034500,(LANDFILL)6/5# QUESO BRAVO CHS,CA,-60,210,2REF,N,12.8,15.4,5.4,30,1.51,0.62,9,63,COOKING,PERFORMANCE DAIRY - SAUCES,PERFORMANCE,LAND O LAKES,POUCH,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48268000034500,45# RF M&C BULK CHEESE (BC),CA,-14,120,2REF,N,11.88,15.56,7.19,45,1.75,0.77,10,50,CHEESE,PREPARED FOODS,CORE,LAND O LAKES,BULK,BLOCK,MAC AND CHEESE,CHEESE OPERATIONS,0
48292000034500,6/5# F/S Y AM PROD LF HILLDALE,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,HILLDALE,LOAF,HILLDALE,AMERICAN,FOODSERVICE,0
48292120034500,6/5# F/S Y AM PROD LF HILLDALE,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,HILLDALE,LOAF,HILLDALE,AMERICAN,FOODSERVICE,12
48292770034500,(OFFGRADE)6/5# F/S Y AM PROD L,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,HILLDALE,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,77
48292990034500,(LANDFILL)6/5# F/S Y AM PROD L,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,HILLDALE,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48293000034500,6/5# F/S W AM PROD HILLDALE,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,HILLDALE,LOAF,HILLDALE,AMERICAN,FOODSERVICE,0
48293120034500,6/5# F/S W AM PROD HILLDALE,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,HILLDALE,LOAF,HILLDALE,AMERICAN,FOODSERVICE,12
48293770034500,(OFFGRADE)6/5# F/S W AM PROD H,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,HILLDALE,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,77
48293990034500,(LANDFILL)6/5# F/S W AM PROD H,CA,-60,270,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,HILLDALE,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48300000034500,2/5# ITALIAN BLND PROC CHS,CA,-60,270,2REF,N,7.75,11.81,4.31,10,1,0.23,20,160,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,SERVICE,ITALIAN BLEND,RETAIL,0
48300000034500,6/5# F/S RS LOAF Y AMER (KCCO),CA,,270,2REF,,,,,10,,,,,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,SERVICE,ITALIAN BLEND,RETAIL,0
48300990034500,(LANDFILL)2/5# ITALIAN BLND PR,CA,-60,270,2REF,N,7.75,11.81,4.31,10,1,0.23,20,160,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
48766000034500,2/ 5# PP AMERICAN 2PCT MILK W,CA,-60,270,2REF,N,7.75,11.81,4.31,10,1,0.23,20,160,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,SERVICE,2PCT AMERICAN,RETAIL,0
48766990034500,(LANDFILL)2/ 5# PP AMERICAN 2P,CA,-60,270,2REF,N,7.75,11.81,4.31,10,1,0.23,20,160,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
48769000034500,6/5# FS GOLDEN VELVET SPRD WHT,CA,-60,210,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,GOLDEN VELVET,AMERICAN,FOODSERVICE,0
48769990034500,(LANDFILL)6/5# FS GOLDEN VELVE,CA,-60,210,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,FOODSERVICE,99
48775000034500,6/5# F/S GOLDEN VELVET YEL SPD,CA,-60,210,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PERFORMANCE DAIRY - CHEESE,PERFORMANCE,GOLDEN VELVET,LOAF,GOLDEN VELVET,AMERICAN,FOODSERVICE,0
48802000053989,6/5# NEW YORKER WHT AMER PROD,CA,-60,365,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PROCESSED,DELI,NEW YORKER,LOAF,SERVICE,NEW YORKER AMERICAN,RETAIL,0
48802990053989,(LANDFILL)6/5# NEW YORKER WHT,CA,-60,365,2REF,N,11.31,11.69,8,30,1.75,0.61,12,60,CHEESE,PROCESSED,DELI,NEW YORKER,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
48856000053989,2/5LB NATURALLY SLENDER WHT AM,CA,-60,270,2REF,N,7.75,11.81,4.31,10,1,0.23,20,160,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,SERVICE,NS AMERICAN,RETAIL,0
48856990053989,(LANDFILL)2/5LB NATURALLY SLEN,CA,-60,270,2REF,N,7.75,11.81,4.31,10,1,0.23,20,160,CHEESE,PROCESSED,DELI,LAND O LAKES,LOAF,"AGED, DAMAGED, OFF SPEC/GRADE",ALL,RETAIL,99
60106000042634,4/5# A/L RF/RS 160 SL R Y AM,CA,-60,180,2REF,N,7,12.8,7.6,20,0.7,0.39,20,100,CHEESE,CORE CHEESE,CORE,ALPINE LACE,SLICE-VERTICAL,ALPINE LACE,AMERICAN,FOODSERVICE,0
